Indonesia,"Population density (people per sq. km of land area)","144.796388212316"
"Iran, Islamic Rep.","Population density (people per sq. km of land area)","53.7998107858243"
Iraq,"Population density (people per sq. km of land area)","98.0286551431836"
Ireland,"Population density (people per sq. km of land area)","72.3672811728843"
Isle of Man,"Population density (people per sq. km of land area)","147.449122807018"
Israel,"Population density (people per sq. km of land area)","425.836414048059"
Italy,"Population density (people per sq. km of land area)","200.999100491348"
Jamaica,"Population density (people per sq. km of land area)","260.428070175439"
Japan,"Population density (people per sq. km of land area)","346.395061728395"
Jordan,"Population density (people per sq. km of land area)","123.079498614771"
Kenya,"Population density (people per sq. km of land area)","91.3409354464631"
Kiribati,"Population density (people per sq. km of land area)","156.127160493827"
"Korea, Dem. People's Rep.","Population density (people per sq. km of land area)","214.828228552446"
"Korea, Rep.","Population density (people per sq. km of land area)","531.109006147541"
Kosovo,"Population density (people per sq. km of land area)",".."
Kuwait,"Population density (people per sq. km of land area)","244.693827160494"
Kyrgyz Republic,"Population density (people per sq. km of land area)","34.3060479666319"
Lao PDR,"Population density (people per sq. km of land area)","31.7131672443674"
Latvia,"Population density (people per sq. km of land area)","30.5391129680219"
Lebanon,"Population density (people per sq. km of land area)","553.560410557185"
Lesotho,"Population density (people per sq. km of land area)","74.2457180500659"
Liberia,"Population density (people per sq. km of land area)","52.8196013289037"
Libya,"Population density (people per sq. km of land area)","3.78163724609841"
Liechtenstein,"Population density (people per sq. km of land area)","242.225"
Lithuania,"Population density (people per sq. km of land area)","44.6324656659214"
Luxembourg,"Population density (people per sq. km of land area)","244.874264894386"
"Macao SAR, China","Population density (people per sq. km of land area)","20555.7142857143"
Madagascar,"Population density (people per sq. km of land area)","48.5135390168443"
Malawi,"Population density (people per sq. km of land area)","205.526739499364"
Malaysia,"Population density (people per sq. km of land area)","101.05004717699"
Maldives,"Population density (people per sq. km of land area)","1714.79333333333"
Mali,"Population density (people per sq. km of land area)","17.3940451896836"
Malta,"Population density (people per sq. km of land area)","1610.4125"
Marshall Islands,"Population density (people per sq. km of land area)","241.183333333333"
Mauritania,"Population density (people per sq. km of land area)","4.36461045891142"
Mauritius,"Population density (people per sq. km of land area)","623.51724137931"
Mexico,"Population density (people per sq. km of land area)","64.8156084261426"
"Micronesia, Fed. Sts.","Population density (people per sq. km of land area)","160.151428571429"
Moldova,"Population density (people per sq. km of land area)","91.7473260542588"
Monaco,"Population density (people per sq. km of land area)","18215.0962012827"
Mongolia,"Population density (people per sq. km of land area)","2.1151336184565"
Montenegro,"Population density (people per sq. km of land area)","46.1937546468401"
Morocco,"Population density (people per sq. km of land area)","82.2065247591306"
Mozambique,"Population density (people per sq. km of land area)","39.6478025890791"
Myanmar,"Population density (people per sq. km of land area)","81.8533071843351"
Namibia,"Population density (people per sq. km of land area)","3.02335507536834"
Nauru,"Population density (people per sq. km of land area)","615.75"
Nepal,"Population density (people per sq. km of land area)","204.734056505058"
Netherlands,"Population density (people per sq. km of land area)","518.013068013068"
New Caledonia,"Population density (people per sq. km of land area)","14.832056892779"
New Zealand,"Population density (people per sq. km of land area)","19.3315863430937"
Nicaragua,"Population density (people per sq. km of land area)","56.1400614924381"
Niger,"Population density (people per sq. km of land area)","19.2102620983658"
Nigeria,"Population density (people per sq. km of land area)","228.737667028997"
North Macedonia,"Population density (people per sq. km of land area)","82.1780729579699"
Northern Mariana Islands,"Population density (people per sq. km of land area)","107.797826086957"
Norway,"Population density (people per sq. km of land area)","14.7672152298338"
Oman,"Population density (people per sq. km of land area)","14.679802907916"
Pakistan,"Population density (people per sq. km of land area)","294.723875311333"
Palau,"Population density (people per sq. km of land area)","39.0695652173913"
Panama,"Population density (people per sq. km of land area)","57.8915610676732"
Papua New Guinea,"Population density (people per sq. km of land area)","21.5290376716866"
Paraguay,"Population density (people per sq. km of land area)","16.6591870123332"
Peru,"Population density (people per sq. km of land area)","26.019340625"
Philippines,"Population density (people per sq. km of land area)","376.265140691552"
Poland,"Population density (people per sq. km of land area)","123.800574919152"
Portugal,"Population density (people per sq. km of land area)","112.406676011074"
